id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,Date,Age_Group,Flight_Distance_Group,Total_Delay,Delay_Group,satisfaction_numeric,Overall_Service_Score,Service_Score_Category
105420,Female,Disloyal Customer,23,Business travel,Econom,452,5,0,5.0,1,1,5,1,1,4,5.0,5.0,3,5,1,54,44.0,satisfied,2022-11-01,Adult,Короткий,98.0,"[90, 120)",1,3.0,Average (3-4)
102956,Male,Loyal Customer,57,Personal Travel,Econom,719,4,4,4.0,1,5,4,5,5,3,2.0,4.0,4,5,5,27,28.0,neutral or dissatisfied,2022-10-01,Adult,Короткий,55.0,"[30, 60)",0,3.9285714285714284,Average (3-4)
18510,Female,Loyal Customer,33,Business travel,Business,1561,1,1,1.0,1,1,5,3,4,4,4.0,3.0,5,4,2,0,0.0,satisfied,2022-10-24,Adult,Длинный,0.0,"[0, 30)",1,2.7857142857142856,Poor (2-3)
14925,Female,Loyal Customer,49,Business travel,Eco Plus,315,4,4,4.0,4,2,2,1,4,4,4.0,4.0,2,4,2,0,8.0,satisfied,2022-10-20,Adult,Короткий,8.0,"[0, 30)",1,3.2142857142857144,Average (3-4)
118319,Female,Loyal Customer,36,Business travel,Business,3347,3,1,1.0,1,1,2,1,3,3,3.0,3.0,2,3,2,18,12.0,neutral or dissatisfied,2022-10-04,Adult,Межконтинентальный,30.0,"[30, 60)",0,2.0714285714285716,Poor (2-3)
75460,Male,Loyal Customer,22,Personal Travel,Econom,2342,3,2,3.0,3,3,3,1,3,2,4.0,3.0,4,2,3,19,0.0,neutral or dissatisfied,2022-10-17,Adult,Длинный,19.0,"[0, 30)",0,2.7857142857142856,Poor (2-3)
48492,Female,Loyal Customer,31,Business travel,Business,819,4,4,4.0,4,5,5,5,5,5,4.0,3.0,1,5,5,0,0.0,satisfied,2022-10-06,Adult,Средний,0.0,"[0, 30)",1,4.214285714285714,Good (4-5)
27809,Female,Disloyal Customer,15,Business travel,Econom,1043,2,2,2.0,3,5,2,5,5,3,1.0,4.0,2,4,5,3,0.0,neutral or dissatisfied,2022-10-29,Teenagers,Средний,3.0,"[0, 30)",0,3.2142857142857144,Average (3-4)
70594,Female,Loyal Customer,35,Business travel,Business,2611,4,5,4.0,4,4,4,4,3,3,4.0,5.0,4,3,4,109,120.0,satisfied,2022-10-26,Adult,Длинный,229.0,"[210, 240)",1,3.9285714285714284,Average (3-4)
30089,Female,Loyal Customer,67,Personal Travel,Econom,1192,4,5,4.0,1,2,4,5,5,5,4.0,3.0,5,5,5,18,24.0,neutral or dissatisfied,2022-10-01,Aged people,Средний,42.0,"[30, 60)",0,4.071428571428571,Good (4-5)
58779,Male,Disloyal Customer,37,Business travel,Business,1182,3,3,3.0,4,1,3,1,1,4,1.0,3.0,1,4,1,9,0.0,neutral or dissatisfied,2022-10-22,Adult,Средний,9.0,"[0, 30)",0,2.357142857142857,Poor (2-3)
110293,Female,Disloyal Customer,34,Business travel,Business,883,3,4,4.0,3,5,4,2,5,5,4.0,5.0,4,5,5,0,0.0,neutral or dissatisfied,2022-10-12,Adult,Средний,0.0,"[0, 30)",0,4.142857142857143,Good (4-5)
48014,Male,Loyal Customer,40,Personal Travel,Eco Plus,550,4,3,4.0,2,2,4,2,2,5,1.0,4.0,3,4,2,23,20.0,neutral or dissatisfied,2022-10-07,Adult,Короткий,43.0,"[30, 60)",0,3.0,Average (3-4)
96517,Female,Loyal Customer,47,Personal Travel,Econom,302,4,4,4.0,3,2,4,5,4,4,4.0,4.0,4,4,4,23,31.0,satisfied,2022-10-14,Adult,Короткий,54.0,"[30, 60)",1,3.857142857142857,Average (3-4)
64685,Male,Disloyal Customer,41,Business travel,Business,354,1,1,1.0,2,1,1,1,1,3,3.0,4.0,4,4,1,0,0.0,neutral or dissatisfied,2022-10-21,Adult,Короткий,0.0,"[0, 30)",0,2.0,Poor (2-3)
64138,Male,Loyal Customer,39,Business travel,Business,1734,4,4,4.0,4,3,5,5,4,4,4.0,4.0,4,4,3,0,0.0,satisfied,2022-10-30,Adult,Длинный,0.0,"[0, 30)",1,4.0,Good (4-5)
60373,Female,Disloyal Customer,25,Business travel,Business,1452,3,5,3.0,4,3,3,3,3,4,4.0,5.0,5,5,3,9,23.0,neutral or dissatisfied,2022-10-10,Adult,Средний,32.0,"[30, 60)",0,3.7857142857142856,Average (3-4)
14849,Male,Loyal Customer,41,Business travel,Business,296,0,0,0.0,3,2,5,3,4,4,4.0,4.0,4,4,3,0,0.0,satisfied,2022-10-12,Adult,Короткий,0.0,"[0, 30)",1,2.857142857142857,Poor (2-3)
28319,Female,Loyal Customer,38,Business travel,Business,2882,3,3,3.0,3,2,1,4,5,5,5.0,5.0,2,5,4,0,0.0,satisfied,2022-10-12,Adult,Длинный,0.0,"[0, 30)",1,3.5714285714285716,Average (3-4)
103012,Female,Loyal Customer,50,Business travel,Business,460,1,1,1.0,1,3,5,5,3,3,3.0,3.0,4,3,5,1,15.0,satisfied,2022-10-07,Adult,Короткий,16.0,"[0, 30)",1,2.9285714285714284,Poor (2-3)
124114,Male,Loyal Customer,29,Business travel,Business,529,1,1,1.0,1,5,5,5,5,4,2.0,5.0,5,4,5,4,0.0,satisfied,2022-10-25,Adult,Короткий,4.0,"[0, 30)",1,3.5,Average (3-4)
107794,Female,Loyal Customer,22,Personal Travel,Business,349,2,4,2.0,1,4,2,4,4,4,5.0,4.0,4,5,4,0,0.0,neutral or dissatisfied,2022-10-26,Adult,Короткий,0.0,"[0, 30)",0,3.5,Average (3-4)
81983,Female,Loyal Customer,13,Business travel,Business,1522,1,1,1.0,1,1,1,1,1,3,5.0,3.0,1,4,1,0,0.0,neutral or dissatisfied,2022-10-01,Teenagers,Длинный,0.0,"[0, 30)",0,1.7857142857142858,Very Poor (1-2)
53164,Male,Loyal Customer,54,Business travel,Business,612,3,3,3.0,3,5,2,3,5,5,5.0,5.0,4,5,3,8,0.0,satisfied,2022-10-06,Adult,Короткий,8.0,"[0, 30)",1,3.857142857142857,Average (3-4)
82042,Male,Loyal Customer,21,Personal Travel,Econom,1454,2,2,2.0,3,5,2,5,5,2,3.0,3.0,1,3,5,0,0.0,neutral or dissatisfied,2022-10-22,Adult,Средний,0.0,"[0, 30)",0,3.0714285714285716,Average (3-4)
72127,Male,Loyal Customer,28,Business travel,Econom,731,2,1,1.0,1,2,2,2,2,3,3.0,2.0,3,3,2,14,8.0,neutral or dissatisfied,2022-10-26,Adult,Короткий,22.0,"[0, 30)",0,2.0714285714285716,Poor (2-3)
113046,Male,Loyal Customer,27,Business travel,Business,2076,3,3,3.0,3,4,4,4,4,3,4.0,4.0,4,5,4,0,1.0,satisfied,2022-10-07,Adult,Длинный,1.0,"[0, 30)",1,3.7142857142857144,Average (3-4)
1050,Female,Loyal Customer,69,Business travel,Econom,309,5,5,5.0,5,1,2,3,5,5,5.0,5.0,4,5,2,0,0.0,satisfied,2022-10-14,Aged people,Короткий,0.0,"[0, 30)",1,4.071428571428571,Good (4-5)
54886,Male,Loyal Customer,35,Personal Travel,Econom,775,2,3,2.0,4,4,2,4,4,4,4.0,3.0,4,1,4,1,0.0,neutral or dissatisfied,2022-10-07,Adult,Средний,1.0,"[0, 30)",0,3.2142857142857144,Average (3-4)
125918,Female,Loyal Customer,60,Personal Travel,Econom,861,2,2,2.0,3,1,3,4,4,4,2.0,4.0,4,4,4,10,10.0,neutral or dissatisfied,2022-10-18,Adult,Средний,20.0,"[0, 30)",0,3.0714285714285716,Average (3-4)
7467,Female,Loyal Customer,45,Business travel,Business,3334,2,4,2.0,2,4,5,5,4,4,4.0,4.0,3,4,5,51,48.0,satisfied,2022-10-28,Adult,Межконтинентальный,99.0,"[90, 120)",1,3.7142857142857144,Average (3-4)
78972,Female,Loyal Customer,57,Business travel,Business,2496,0,0,0.0,1,3,4,5,5,5,5.0,5.0,4,5,5,0,5.0,satisfied,2022-10-03,Adult,Длинный,5.0,"[0, 30)",1,3.357142857142857,Average (3-4)
126625,Male,Loyal Customer,40,Business travel,Business,602,5,5,5.0,5,2,5,5,5,5,5.0,5.0,3,5,4,0,0.0,satisfied,2022-10-31,Adult,Короткий,0.0,"[0, 30)",1,4.571428571428571,Good (4-5)
114501,Female,Disloyal Customer,38,Business travel,Business,308,3,3,3.0,3,4,3,4,4,1,1.0,4.0,2,3,4,39,26.0,neutral or dissatisfied,2022-10-05,Adult,Короткий,65.0,"[60, 90)",0,3.0,Average (3-4)
114813,Male,Disloyal Customer,23,Business travel,Econom,446,2,4,2.0,1,4,2,4,4,4,2.0,4.0,5,5,4,4,0.0,neutral or dissatisfied,2022-11-01,Adult,Короткий,4.0,"[0, 30)",0,3.357142857142857,Average (3-4)
32167,Male,Disloyal Customer,39,Business travel,Business,216,2,2,2.0,3,3,2,3,3,2,1.0,4.0,2,4,3,0,0.0,neutral or dissatisfied,2022-10-29,Adult,Ультракороткий,0.0,"[0, 30)",0,2.5714285714285716,Poor (2-3)
68001,Female,Loyal Customer,52,Business travel,Business,3475,2,2,2.0,2,4,4,4,4,4,4.0,4.0,4,4,3,0,0.0,satisfied,2022-10-27,Adult,Межконтинентальный,0.0,"[0, 30)",1,3.357142857142857,Average (3-4)
117052,Male,Disloyal Customer,25,Business travel,Econom,646,2,1,2.0,2,4,2,3,4,4,4.0,3.0,2,2,4,13,1.0,neutral or dissatisfied,2022-10-13,Adult,Короткий,14.0,"[0, 30)",0,2.7857142857142856,Poor (2-3)
8661,Female,Loyal Customer,48,Business travel,Business,2501,3,3,3.0,3,5,4,4,5,5,5.0,5.0,4,5,4,0,0.0,satisfied,2022-10-23,Adult,Длинный,0.0,"[0, 30)",1,4.142857142857143,Good (4-5)
57165,Female,Loyal Customer,59,Business travel,Business,2227,5,5,5.0,5,2,4,4,4,4,4.0,4.0,3,4,4,30,15.0,satisfied,2022-11-01,Adult,Длинный,45.0,"[30, 60)",1,4.071428571428571,Good (4-5)
78610,Male,Loyal Customer,25,Business travel,Business,1426,3,3,3.0,3,4,5,4,4,5,4.0,4.0,4,4,4,4,0.0,satisfied,2022-10-08,Adult,Средний,4.0,"[0, 30)",1,3.857142857142857,Average (3-4)
51058,Male,Loyal Customer,38,Personal Travel,Econom,190,2,4,2.0,3,4,2,4,4,3,2.0,4.0,4,5,4,0,0.0,neutral or dissatisfied,2022-11-01,Adult,Ультракороткий,0.0,"[0, 30)",0,3.357142857142857,Average (3-4)
92027,Male,Loyal Customer,46,Business travel,Business,1532,2,2,2.0,2,2,4,5,5,5,5.0,5.0,5,5,4,0,0.0,satisfied,2022-10-26,Adult,Длинный,0.0,"[0, 30)",1,3.7857142857142856,Average (3-4)
115534,Male,Loyal Customer,50,Business travel,Econom,308,2,1,1.0,1,2,2,2,2,3,2.0,2.0,2,3,2,18,12.0,neutral or dissatisfied,2022-10-18,Adult,Короткий,30.0,"[30, 60)",0,1.9285714285714286,Very Poor (1-2)
9261,Female,Loyal Customer,38,Business travel,Eco Plus,157,4,4,4.0,4,4,4,4,4,3,3.0,1.0,1,4,4,0,0.0,satisfied,2022-10-12,Adult,Ультракороткий,0.0,"[0, 30)",1,3.4285714285714284,Average (3-4)
61033,Female,Loyal Customer,53,Business travel,Business,1506,4,4,4.0,4,3,4,5,5,5,5.0,5.0,4,5,5,0,0.0,satisfied,2022-10-15,Adult,Длинный,0.0,"[0, 30)",1,4.428571428571429,Good (4-5)
75930,Male,Loyal Customer,30,Business travel,Eco Plus,205,3,2,2.0,2,3,3,3,3,2,5.0,1.0,1,2,3,64,49.0,neutral or dissatisfied,2022-10-11,Adult,Ультракороткий,113.0,"[90, 120)",0,2.5,Poor (2-3)
112142,Male,Disloyal Customer,39,Business travel,Business,895,2,2,2.0,4,5,2,5,5,5,4.0,4.0,5,5,5,0,2.0,neutral or dissatisfied,2022-10-01,Adult,Средний,2.0,"[0, 30)",0,3.9285714285714284,Average (3-4)
24518,Male,Loyal Customer,66,Personal Travel,Eco Plus,516,1,4,1.0,2,2,1,2,2,4,4.0,5.0,5,5,2,0,37.0,neutral or dissatisfied,2022-10-22,Aged people,Короткий,37.0,"[30, 60)",0,2.857142857142857,Poor (2-3)
112524,Male,Loyal Customer,45,Personal Travel,Econom,909,3,5,3.0,2,1,3,1,1,4,4.0,5.0,3,4,1,0,0.0,neutral or dissatisfied,2022-10-27,Adult,Средний,0.0,"[0, 30)",0,2.857142857142857,Poor (2-3)
101639,Female,Disloyal Customer,25,Business travel,Business,1435,5,1,5.0,4,1,5,1,1,4,2.0,5.0,4,5,1,1,1.0,satisfied,2022-10-14,Adult,Средний,2.0,"[0, 30)",1,3.142857142857143,Average (3-4)
85018,Male,Loyal Customer,52,Business travel,Business,1190,2,4,4.0,4,1,4,3,2,2,2.0,2.0,1,2,4,0,6.0,neutral or dissatisfied,2022-10-06,Adult,Средний,6.0,"[0, 30)",0,2.642857142857143,Poor (2-3)
106922,Male,Loyal Customer,64,Personal Travel,Econom,1259,4,5,4.0,2,2,4,2,2,4,5.0,3.0,4,4,2,20,5.0,satisfied,2022-10-26,Aged people,Средний,25.0,"[0, 30)",1,3.357142857142857,Average (3-4)
32564,Female,Disloyal Customer,50,Business travel,Econom,216,4,0,4.0,4,4,4,4,4,5,2.0,1.0,4,4,4,0,0.0,neutral or dissatisfied,2022-10-06,Adult,Ультракороткий,0.0,"[0, 30)",0,3.4285714285714284,Average (3-4)
92242,Female,Disloyal Customer,41,Business travel,Business,1670,2,1,1.0,2,3,2,4,3,3,5.0,3.0,4,5,3,0,0.0,neutral or dissatisfied,2022-10-17,Adult,Длинный,0.0,"[0, 30)",0,2.9285714285714284,Poor (2-3)
73302,Male,Loyal Customer,26,Business travel,Business,3960,1,1,1.0,1,4,4,4,4,4,2.0,5.0,4,4,4,45,48.0,satisfied,2022-10-19,Adult,Межконтинентальный,93.0,"[90, 120)",1,3.0714285714285716,Average (3-4)
42267,Female,Disloyal Customer,25,Business travel,Econom,817,4,4,4.0,3,3,4,3,3,2,3.0,2.0,3,3,3,0,0.0,neutral or dissatisfied,2022-10-03,Adult,Средний,0.0,"[0, 30)",0,3.142857142857143,Average (3-4)
121358,Female,Disloyal Customer,44,Business travel,Business,1670,3,3,3.0,4,5,3,5,5,3,2.0,4.0,2,4,5,0,8.0,neutral or dissatisfied,2022-10-15,Adult,Длинный,8.0,"[0, 30)",0,3.642857142857143,Average (3-4)
65655,Female,Disloyal Customer,21,Business travel,Business,861,4,0,4.0,4,1,4,1,1,3,4.0,4.0,4,5,1,0,0.0,satisfied,2022-10-20,Adult,Средний,0.0,"[0, 30)",1,2.857142857142857,Poor (2-3)
88062,Male,Loyal Customer,47,Business travel,Business,406,2,2,2.0,2,3,5,5,4,4,4.0,4.0,5,4,4,44,50.0,satisfied,2022-10-22,Adult,Короткий,94.0,"[90, 120)",1,3.5714285714285716,Average (3-4)
91330,Male,Loyal Customer,31,Business travel,Eco Plus,404,4,4,4.0,4,4,4,4,4,1,2.0,2.0,4,2,4,17,3.0,satisfied,2022-10-11,Adult,Короткий,20.0,"[0, 30)",1,3.357142857142857,Average (3-4)
22031,Female,Loyal Customer,57,Personal Travel,Eco Plus,500,3,5,3.0,2,3,4,5,5,5,3.0,5.0,4,5,5,0,0.0,neutral or dissatisfied,2022-10-07,Adult,Короткий,0.0,"[0, 30)",0,4.071428571428571,Good (4-5)
27921,Male,Loyal Customer,44,Personal Travel,Econom,689,3,5,3.0,4,5,3,2,5,4,4.0,5.0,3,5,5,0,0.0,neutral or dissatisfied,2022-10-28,Adult,Короткий,0.0,"[0, 30)",0,4.0,Good (4-5)
51947,Male,Loyal Customer,45,Business travel,Business,3100,3,3,3.0,3,1,1,3,4,4,4.0,4.0,3,4,1,0,0.0,satisfied,2022-11-01,Adult,Межконтинентальный,0.0,"[0, 30)",1,2.9285714285714284,Poor (2-3)
40017,Male,Disloyal Customer,13,Business travel,Econom,525,2,2,2.0,3,3,2,3,3,3,1.0,3.0,1,4,3,0,0.0,neutral or dissatisfied,2022-10-14,Teenagers,Короткий,0.0,"[0, 30)",0,2.5,Poor (2-3)
76392,Male,Loyal Customer,60,Personal Travel,Econom,931,0,5,0.0,3,4,0,3,4,4,5.0,5.0,4,5,4,0,0.0,satisfied,2022-10-30,Adult,Средний,0.0,"[0, 30)",1,3.2857142857142856,Average (3-4)
118486,Female,Disloyal Customer,41,Business travel,Business,304,5,5,5.0,3,2,5,2,2,3,4.0,4.0,4,4,2,31,19.0,satisfied,2022-10-08,Adult,Короткий,50.0,"[30, 60)",1,3.5714285714285716,Average (3-4)
6012,Male,Loyal Customer,30,Business travel,Business,1896,4,1,1.0,1,4,4,4,4,2,2.0,3.0,4,2,4,81,72.0,neutral or dissatisfied,2022-10-22,Adult,Длинный,153.0,"[150, 180)",0,2.857142857142857,Poor (2-3)
30183,Female,Loyal Customer,51,Business travel,Eco Plus,261,5,4,4.0,4,4,3,1,5,5,5.0,5.0,1,5,1,0,0.0,satisfied,2022-10-04,Adult,Короткий,0.0,"[0, 30)",1,3.7142857142857144,Average (3-4)
41652,Female,Loyal Customer,61,Business travel,Econom,347,2,5,5.0,5,5,2,4,3,3,2.0,3.0,3,3,4,0,11.0,satisfied,2022-10-18,Aged people,Короткий,11.0,"[0, 30)",1,3.5,Average (3-4)
15138,Female,Loyal Customer,32,Business travel,Econom,1042,4,1,1.0,1,4,4,4,4,4,3.0,1.0,5,2,4,35,34.0,satisfied,2022-10-29,Adult,Средний,69.0,"[60, 90)",1,3.0,Average (3-4)
123589,Female,Loyal Customer,39,Personal Travel,Econom,1773,4,5,4.0,5,5,4,5,5,2,2.0,3.0,3,1,5,14,18.0,neutral or dissatisfied,2022-10-23,Adult,Длинный,32.0,"[30, 60)",0,3.7857142857142856,Average (3-4)
114534,Male,Loyal Customer,19,Personal Travel,Business,342,3,1,3.0,2,3,3,3,3,2,1.0,3.0,1,3,3,0,0.0,neutral or dissatisfied,2022-10-16,Teenagers,Короткий,0.0,"[0, 30)",0,2.4285714285714284,Poor (2-3)
93076,Female,Loyal Customer,15,Personal Travel,Eco Plus,297,1,5,1.0,3,5,1,5,5,5,1.0,1.0,3,4,5,67,62.0,neutral or dissatisfied,2022-10-02,Teenagers,Короткий,129.0,"[120, 150)",0,3.2142857142857144,Average (3-4)
96963,Female,Disloyal Customer,42,Business travel,Business,883,3,3,3.0,3,3,3,4,3,5,2.0,4.0,3,4,3,22,27.0,satisfied,2022-10-31,Adult,Средний,49.0,"[30, 60)",1,3.2857142857142856,Average (3-4)
85494,Female,Loyal Customer,16,Personal Travel,Econom,332,2,5,2.0,1,3,2,4,3,5,4.0,5.0,4,4,3,40,52.0,neutral or dissatisfied,2022-10-10,Teenagers,Короткий,92.0,"[90, 120)",0,3.357142857142857,Average (3-4)
72989,Male,Loyal Customer,19,Business travel,Business,2388,5,5,5.0,5,4,5,4,4,5,5.0,1.0,5,4,4,0,0.0,satisfied,2022-10-10,Teenagers,Длинный,0.0,"[0, 30)",1,4.357142857142857,Good (4-5)
42357,Female,Loyal Customer,29,Personal Travel,Econom,748,2,5,2.0,2,5,2,1,5,4,2.0,4.0,3,5,5,0,0.0,neutral or dissatisfied,2022-10-26,Adult,Короткий,0.0,"[0, 30)",0,3.357142857142857,Average (3-4)
23040,Female,Disloyal Customer,27,Business travel,Eco Plus,1080,3,3,3.0,3,3,3,3,3,4,1.0,3.0,3,3,3,0,0.0,neutral or dissatisfied,2022-10-24,Adult,Средний,0.0,"[0, 30)",0,2.9285714285714284,Poor (2-3)
65420,Male,Disloyal Customer,22,Business travel,Business,231,5,0,5.0,4,5,5,5,5,3,4.0,4.0,3,1,5,0,0.0,satisfied,2022-10-29,Adult,Ультракороткий,0.0,"[0, 30)",1,3.857142857142857,Average (3-4)
65045,Female,Loyal Customer,15,Personal Travel,Econom,551,3,4,3.0,3,4,3,4,4,1,1.0,4.0,2,1,4,3,0.0,neutral or dissatisfied,2022-10-31,Teenagers,Короткий,3.0,"[0, 30)",0,2.9285714285714284,Poor (2-3)
37373,Male,Disloyal Customer,11,Business travel,Econom,972,1,1,1.0,3,1,1,1,1,4,3.0,4.0,2,1,1,0,0.0,neutral or dissatisfied,2022-10-17,Child,Средний,0.0,"[0, 30)",0,1.7857142857142858,Very Poor (1-2)
44405,Female,Loyal Customer,34,Personal Travel,Econom,265,4,3,4.0,3,5,4,5,5,2,5.0,2.0,1,4,5,0,23.0,neutral or dissatisfied,2022-10-04,Adult,Короткий,23.0,"[0, 30)",0,3.7142857142857144,Average (3-4)
16653,Female,Disloyal Customer,26,Business travel,Econom,488,2,0,2.0,4,1,2,1,1,3,2.0,5.0,1,3,1,0,0.0,neutral or dissatisfied,2022-10-30,Adult,Короткий,0.0,"[0, 30)",0,2.0,Poor (2-3)
71655,Female,Loyal Customer,26,Personal Travel,Econom,1144,3,5,2.0,2,4,2,4,4,5,4.0,5.0,3,5,4,0,0.0,neutral or dissatisfied,2022-10-02,Adult,Средний,0.0,"[0, 30)",0,3.7142857142857144,Average (3-4)
77591,Male,Loyal Customer,53,Business travel,Business,2332,5,5,5.0,5,5,5,5,4,4,5.0,4.0,4,4,3,0,3.0,satisfied,2022-10-10,Adult,Длинный,3.0,"[0, 30)",1,4.5,Good (4-5)
